stacking,disregistry,d,energy,energy_err,,
AB,0,3,-154.5983885,0.000328409,,
AB,0,3.2,-154.6087965,0.000277669,,
AB,0,3.35,-154.6121186,0.000264267,,
AB,0,3.5,-154.6127718,0.00028204,,
AB,0,3.65,-154.6110032,0.000373904,,
AB,0,3.8,-154.6087603,0.000230164,,
AB,0,4,-154.6065653,0.00027804,,
AB,0,4.5,-154.5999997,0.000255794,,
AB,0,5,-154.5961492,0.000235277,,
AB,0,6,-154.5933332,0.000217474,,
AB,0,7,-154.5924153,0.000221223,,
SP,0.16667,3,-154.595188,0.00014497,,
SP,0.16667,3.2,-154.6079587,0.000174575,,
SP,0.16667,3.35,-154.6112762,0.000146758,,
SP,0.16667,3.5,-154.6122585,0.000163662,,
SP,0.16667,3.65,-154.6112093,0.000193618,,
SP,0.16667,3.8,-154.608987,0.000262483,,
SP,0.16667,4,-154.6060671,0.000152485,,
SP,0.16667,4.5,-154.5999743,0.000196751,,
SP,0.16667,5,-154.5957933,0.000181192,,
SP,0.16667,6,-154.5930389,0.000170937,,
SP,0.16667,7,-154.5919695,0.000152262,,
Mid,0.5,3,-154.586987,0.000283931,,
Mid,0.5,3.2,-154.6029523,0.000211959,,
Mid,0.5,3.35,-154.6079086,0.000274131,,
Mid,0.5,3.5,-154.6096571,0.000271224,,
Mid,0.5,3.65,-154.6099993,0.000274089,,
Mid,0.5,3.8,-154.6083789,0.000216772,,
Mid,0.5,4,-154.6059755,0.000229234,,
Mid,0.5,4.5,-154.5997248,0.000238832,,
Mid,0.5,5,-154.5960759,0.000331875,,
Mid,0.5,6,-154.5930943,0.000205636,,
Mid,0.5,7,-154.5922557,0.000214759,,
AA,0.66667,3,-154.5701654,0.000202917,,
AA,0.66667,3.2,-154.5944363,0.000406473,,
AA,0.66667,3.35,-154.6034102,0.000243711,,
AA,0.66667,3.5,-154.6070015,0.000287817,,
AA,0.66667,3.65,-154.6082219,0.000304209,,
AA,0.66667,3.8,-154.6070722,0.000224977,,
AA,0.66667,4,-154.6053405,0.000370866,,
AA,0.66667,4.5,-154.600098,0.000250877,,
AA,0.66667,5,-154.5959313,0.000277573,,
AA,0.66667,6,-154.5932699,0.000236996,,
AA,0.66667,7,-154.5917503,0.0003188,,
